Data,Horário,Estádio,Árbitro,Casa,GolsCasa,GolsVisitante,Visitante
24/08/2019,18:00,ENNIO TARDINI (Parma),FABIO MARESCA,Parma,0,1,Juventus
24/08/2019,20:45,ARTEMIO FRANCHI (Firenze),DAVIDE MASSA,Fiorentina,3,4,Napoli
25/08/2019,18:00,DACIA ARENA - STADIO FRIULI (Udine),FABRIZIO PASQUA,Udinese,1,0,Milan
25/08/2019,20:45,UNIPOL DOMUS (Cagliari),EUGENIO ABBATTISTA,Cagliari,0,1,Brescia
25/08/2019,20:45,MARCANTONIO BENTEGODI (Verona),ANTONIO GIUA,Hellas Verona,1,1,Bologna
25/08/2019,20:45,OLIMPICO (Roma),GIANPAOLO CALVARESE,Roma,3,3,Genoa
25/08/2019,20:45,LUIGI FERRARIS (Genova),GIANLUCA ROCCHI,Sampdoria,0,3,Lazio
25/08/2019,20:45,PAOLO MAZZA (Ferrara),GIANLUCA MANGANIELLO,Spal,2,3,Atalanta
25/08/2019,20:45,OLIMPICO GRANDE TORINO (Torino),MICHAEL FABBRI,Torino,2,1,Sassuolo
26/08/2019,20:45,GIUSEPPE MEAZZA (Milano),FEDERICO LA PENNA,Inter,4,0,Lecce
30/08/2019,20:45,RENATO DALL'ARA (Bologna),MARCO DI BELLO,Bologna,1,0,Spal
31/08/2019,18:00,GIUSEPPE MEAZZA (Milano),ROSARIO ABISSO,Milan,1,0,Brescia
31/08/2019,20:45,ALLIANZ STADIUM (Torino),DANIELE ORSATO,Juventus,4,3,Napoli
01/09/2019,18:00,OLIMPICO (Roma),MARCO GUIDA,Lazio,1,1,Roma
01/09/2019,20:45,ENNIO TARDINI (Parma),DANIELE DOVERI,Atalanta,2,3,Torino
01/09/2019,20:45,UNIPOL DOMUS (Cagliari),FABIO MARESCA,Cagliari,1,2,Inter
01/09/2019,20:45,LUIGI FERRARIS (Genova),PIERO GIACOMELLI,Genoa,2,1,Fiorentina
01/09/2019,20:45,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),JUAN LUCA SACCHI,Lecce,0,1,Hellas Verona
01/09/2019,20:45,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),LUCA PAIRETTO,Sassuolo,4,1,Sampdoria
01/09/2019,20:45,DACIA ARENA - STADIO FRIULI (Udine),MARCO PICCININI,Udinese,1,3,Parma
14/09/2019,15:00,ARTEMIO FRANCHI (Firenze),MASSIMILIANO IRRATI,Fiorentina,0,0,Juventus
14/09/2019,18:00,SAN PAOLO (Napoli),FEDERICO LA PENNA,Napoli,2,0,Sampdoria
14/09/2019,20:45,GIUSEPPE MEAZZA (Milano),MAURIZIO MARIANI,Inter,1,0,Udinese
15/09/2019,12:30,LUIGI FERRARIS (Genova),MICHAEL FABBRI,Genoa,1,2,Atalanta
15/09/2019,15:00,MARIO RIGAMONTI (Brescia),GIANLUCA ROCCHI,Brescia,3,4,Bologna
